working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][5500/9358]	eta 0:19:54 lr 0.000000235	time 0.2630 (0.3096)	tot_loss 0.7644 (0.4694)	mem 6729MB
Train: [0/300][5550/9358]	eta 0:19:39 lr 0.000000237	time 0.3339 (0.3096)	tot_loss 0.6759 (0.4689)	mem 6729MB
Train: [0/300][5600/9358]	eta 0:19:25 lr 0.000000239	time 0.3423 (0.3101)	tot_loss 0.4897 (0.4682)	mem 6729MB
Train: [0/300][5650/9358]	eta 0:19:10 lr 0.000000241	time 0.2767 (0.3103)	tot_loss 0.7795 (0.4673)	mem 6729MB
Train: [0/300][5700/9358]	eta 0:18:55 lr 0.000000244	time 0.3047 (0.3104)	tot_loss 0.4184 (0.4667)	mem 6729MB
Train: [0/300][5750/9358]	eta 0:18:39 lr 0.000000246	time 0.3325 (0.3104)	tot_loss 0.4270 (0.4656)	mem 6729MB
Train: [0/300][5800/9358]	eta 0:18:24 lr 0.000000248	time 0.3009 (0.3103)	tot_loss 0.3159 (0.4650)	mem 6729MB
Train: [0/300][5850/9358]	eta 0:18:08 lr 0.000000250	time 0.3090 (0.3103)	tot_loss 0.5578 (0.4641)	mem 6729MB
Train: [0/300][5900/9358]	eta 0:17:52 lr 0.000000252	time 0.2714 (0.3102)	tot_loss 0.2845 (0.4636)	mem 6729MB
Train: [0/300][5950/9358]	eta 0:17:37 lr 0.000000254	time 0.2768 (0.3102)	tot_loss 0.2331 (0.4627)	mem 6729MB
Train: [0/300][6000/9358]	eta 0:17:21 lr 0.000000256	time 0.2866 (0.3102)	tot_loss 0.2459 (0.4617)	mem 6729MB
Train: [0/300][6050/9358]	eta 0:17:05 lr 0.000000258	time 0.2874 (0.3101)	tot_loss 0.2699 (0.4609)	mem 6729MB
Train: [0/300][6100/9358]	eta 0:16:50 lr 0.000000261	time 0.2772 (0.3102)	tot_loss 0.2805 (0.4601)	mem 6730MB
Train: [0/300][6150/9358]	eta 0:16:34 lr 0.000000263	time 0.2636 (0.3101)	tot_loss 0.2654 (0.4594)	mem 6730MB
Train: [0/300][6200/9358]	eta 0:16:19 lr 0.000000265	time 0.2870 (0.3101)	tot_loss 0.4679 (0.4586)	mem 6730MB
Train: [0/300][6250/9358]	eta 0:16:04 lr 0.000000267	time 0.2758 (0.3104)	tot_loss 0.1484 (0.4579)	mem 6730MB
Train: [0/300][6300/9358]	eta 0:15:49 lr 0.000000269	time 0.2888 (0.3105)	tot_loss 0.5362 (0.4576)	mem 6730MB
Train: [0/300][6350/9358]	eta 0:15:34 lr 0.000000271	time 0.3175 (0.3107)	tot_loss 0.4148 (0.4567)	mem 6730MB
Train: [0/300][6400/9358]	eta 0:15:19 lr 0.000000274	time 0.2724 (0.3109)	tot_loss 0.6642 (0.4559)	mem 6730MB
Train: [0/300][6450/9358]	eta 0:15:03 lr 0.000000276	time 0.2708 (0.3108)	tot_loss 0.1708 (0.4557)	mem 6730MB
Train: [0/300][6500/9358]	eta 0:14:47 lr 0.000000278	time 0.2937 (0.3106)	tot_loss 0.4027 (0.4552)	mem 6730MB
Train: [0/300][6550/9358]	eta 0:14:32 lr 0.000000280	time 0.2952 (0.3106)	tot_loss 0.2774 (0.4545)	mem 6730MB
Train: [0/300][6600/9358]	eta 0:14:16 lr 0.000000282	time 0.2601 (0.3106)	tot_loss 0.2470 (0.4537)	mem 6730MB
Train: [0/300][6650/9358]	eta 0:14:00 lr 0.000000284	time 0.2636 (0.3106)	tot_loss 0.6154 (0.4531)	mem 6730MB
Train: [0/300][6700/9358]	eta 0:13:44 lr 0.000000286	time 0.2463 (0.3103)	tot_loss 0.4492 (0.4525)	mem 6730MB
Train: [0/300][6750/9358]	eta 0:13:29 lr 0.000000288	time 0.2648 (0.3102)	tot_loss 0.8101 (0.4518)	mem 6730MB
Train: [0/300][6800/9358]	eta 0:13:13 lr 0.000000291	time 0.2763 (0.3102)	tot_loss 0.3249 (0.4514)	mem 6730MB
